Conversation_ID,Customer_Issue,Tech_Response,Resolution_Time,Issue_Category,Issue_Status,Response_Time_Min,Sentiment
CONV-0411,Blue screen error,Verify your email settings.,37 minutes,Network,Resolved after follow-up,8,negative
CONV-0412,Blue screen error,Clear cache and remove unnecessary programs.,98 minutes,Network,Resolved after follow-up,15,negative
CONV-0413,Cannot connect to Wi-Fi,Run a system diagnostic tool.,59 minutes,Account,Escalated,19,neutral
CONV-0414,Software installation failure,Verify your email settings.,46 minutes,Network,Resolved,14,negative
CONV-0415,Slow system performance,Follow the software installation guide.,56 minutes,Performance,Escalated,22,neutral
CONV-0416,Printer not responding,Reset your password using the link provided.,94 minutes,Performance,Resolved,37,neutral
CONV-0417,Unable to access email,Reset your password using the link provided.,86 minutes,Software,Pending,9,neutral
CONV-0418,Software installation failure,Clear cache and remove unnecessary programs.,7 minutes,Network,Escalated,13,negative
CONV-0419,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,83 minutes,Hardware,Resolved,36,neutral
CONV-0420,Printer not responding,Restart your router.,69 minutes,Performance,Resolved after follow-up,23,neutral
CONV-0421,Cannot connect to Wi-Fi,Reset your password using the link provided.,79 minutes,Software,Resolved,3,neutral
CONV-0422,Forgot password,Verify your email settings.,76 minutes,Hardware,Escalated,17,neutral
CONV-0423,Unable to access email,Reinstall the printer drivers.,58 minutes,Account,Pending,14,neutral
CONV-0424,Software installation failure,Run a system diagnostic tool.,71 minutes,Performance,Pending,20,negative
CONV-0425,Blue screen error,Restart your router.,41 minutes,Account,Resolved after follow-up,5,negative
CONV-0426,Blue screen error,Verify your email settings.,34 minutes,Hardware,Resolved,33,negative
CONV-0427,Unable to access email,Reset your password using the link provided.,66 minutes,Performance,Pending,20,neutral
CONV-0428,Unable to access email,Follow the software installation guide.,66 minutes,Software,Resolved after follow-up,11,neutral
CONV-0429,Printer not responding,Restart your router.,55 minutes,Network,Resolved,13,neutral
CONV-0430,Cannot connect to Wi-Fi,Reinstall the printer drivers.,15 minutes,Hardware,Resolved after follow-up,25,neutral
CONV-0431,Slow system performance,Run a system diagnostic tool.,9 minutes,Hardware,Resolved after follow-up,52,neutral
CONV-0432,Cannot connect to Wi-Fi,Follow the software installation guide.,57 minutes,Network,Escalated,5,neutral
CONV-0433,Unable to access email,Reset your password using the link provided.,73 minutes,Software,Resolved,6,neutral
CONV-0434,Blue screen error,Follow the software installation guide.,105 minutes,Performance,Pending,28,negative
CONV-0435,Unable to access email,Follow the software installation guide.,118 minutes,Account,Escalated,7,neutral
CONV-0436,Software installation failure,Clear cache and remove unnecessary programs.,95 minutes,Account,Resolved,11,negative
CONV-0437,Software installation failure,Reset your password using the link provided.,109 minutes,Hardware,Resolved after follow-up,54,negative
CONV-0438,Unable to access email,Follow the software installation guide.,56 minutes,Performance,Resolved,21,neutral
CONV-0439,Printer not responding,Restart your router.,51 minutes,Account,Pending,14,neutral
CONV-0440,Unable to access email,Verify your email settings.,100 minutes,Hardware,Pending,55,neutral
CONV-0441,Cannot connect to Wi-Fi,Restart your router.,22 minutes,Software,Resolved,6,neutral
CONV-0442,Unable to access email,Reset your password using the link provided.,97 minutes,Hardware,Resolved,40,neutral
CONV-0443,Printer not responding,Reinstall the printer drivers.,38 minutes,Performance,Pending,29,neutral
CONV-0444,Blue screen error,Verify your email settings.,21 minutes,Account,Resolved,2,negative
CONV-0445,Blue screen error,Run a system diagnostic tool.,104 minutes,Network,Resolved after follow-up,17,negative
CONV-0446,Cannot connect to Wi-Fi,Reset your password using the link provided.,114 minutes,Hardware,Resolved,28,neutral
CONV-0447,Software installation failure,Reset your password using the link provided.,12 minutes,Network,Escalated,23,negative
CONV-0448,Printer not responding,Clear cache and remove unnecessary programs.,110 minutes,Network,Resolved after follow-up,29,neutral
CONV-0449,Printer not responding,Run a system diagnostic tool.,74 minutes,Software,Escalated,13,neutral
CONV-0450,Cannot connect to Wi-Fi,Verify your email settings.,12 minutes,Account,Pending,7,neutral
CONV-0451,Printer not responding,Verify your email settings.,105 minutes,Software,Resolved,12,neutral
CONV-0452,Slow system performance,Reinstall the printer drivers.,33 minutes,Software,Escalated,14,neutral
CONV-0453,Slow system performance,Reset your password using the link provided.,72 minutes,Account,Pending,3,neutral
CONV-0454,Cannot connect to Wi-Fi,Follow the software installation guide.,56 minutes,Network,Pending,26,neutral
CONV-0455,Software installation failure,Reset your password using the link provided.,116 minutes,Network,Resolved after follow-up,13,negative
CONV-0456,Software installation failure,Reinstall the printer drivers.,120 minutes,Performance,Resolved,23,negative
CONV-0457,Software installation failure,Clear cache and remove unnecessary programs.,79 minutes,Software,Resolved after follow-up,9,negative
CONV-0458,Cannot connect to Wi-Fi,Run a system diagnostic tool.,96 minutes,Hardware,Pending,44,neutral
CONV-0459,Slow system performance,Reset your password using the link provided.,31 minutes,Performance,Resolved,30,neutral
CONV-0460,Software installation failure,Follow the software installation guide.,85 minutes,Hardware,Pending,12,negative
CONV-0461,Printer not responding,Reinstall the printer drivers.,53 minutes,Hardware,Escalated,33,neutral
CONV-0462,Printer not responding,Reset your password using the link provided.,14 minutes,Hardware,Resolved,49,neutral
CONV-0463,Forgot password,Restart your router.,77 minutes,Network,Resolved,18,neutral
CONV-0464,Cannot connect to Wi-Fi,Run a system diagnostic tool.,51 minutes,Software,Pending,4,neutral
CONV-0465,Cannot connect to Wi-Fi,Reset your password using the link provided.,84 minutes,Hardware,Resolved after follow-up,31,neutral
CONV-0466,Software installation failure,Reinstall the printer drivers.,108 minutes,Hardware,Pending,33,negative
CONV-0467,Forgot password,Reinstall the printer drivers.,108 minutes,Hardware,Escalated,54,neutral
CONV-0468,Forgot password,Clear cache and remove unnecessary programs.,77 minutes,Account,Pending,14,neutral
CONV-0469,Unable to access email,Reset your password using the link provided.,23 minutes,Performance,Resolved,19,neutral
CONV-0470,Slow system performance,Reinstall the printer drivers.,118 minutes,Performance,Resolved after follow-up,25,neutral
CONV-0471,Slow system performance,Verify your email settings.,8 minutes,Account,Resolved after follow-up,4,neutral
CONV-0472,Printer not responding,Restart your router.,94 minutes,Hardware,Resolved,57,neutral
CONV-0473,Forgot password,Restart your router.,65 minutes,Software,Resolved after follow-up,12,neutral
CONV-0474,Printer not responding,Follow the software installation guide.,96 minutes,Account,Pending,16,neutral
CONV-0475,Forgot password,Restart your router.,58 minutes,Hardware,Resolved,49,neutral
CONV-0476,Unable to access email,Reset your password using the link provided.,110 minutes,Hardware,Pending,47,neutral
CONV-0477,Printer not responding,Follow the software installation guide.,9 minutes,Network,Resolved,10,neutral
CONV-0478,Software installation failure,Reset your password using the link provided.,64 minutes,Hardware,Pending,53,negative
CONV-0479,Software installation failure,Run a system diagnostic tool.,120 minutes,Network,Pending,10,negative
CONV-0480,Forgot password,Run a system diagnostic tool.,28 minutes,Performance,Resolved after follow-up,20,neutral
CONV-0481,Slow system performance,Reset your password using the link provided.,106 minutes,Network,Escalated,14,neutral
CONV-0482,Slow system performance,Restart your router.,111 minutes,Network,Resolved,18,neutral
CONV-0483,Printer not responding,Restart your router.,52 minutes,Software,Pending,14,neutral
CONV-0484,Slow system performance,Follow the software installation guide.,98 minutes,Network,Resolved,11,neutral
CONV-0485,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,22 minutes,Account,Escalated,9,neutral
CONV-0486,Blue screen error,Verify your email settings.,25 minutes,Network,Resolved after follow-up,6,negative
CONV-0487,Unable to access email,Reinstall the printer drivers.,17 minutes,Network,Resolved,15,neutral
CONV-0488,Software installation failure,Restart your router.,76 minutes,Software,Resolved,10,negative
CONV-0489,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,101 minutes,Software,Pending,8,neutral
CONV-0490,Slow system performance,Reinstall the printer drivers.,46 minutes,Network,Resolved after follow-up,14,neutral
CONV-0491,Cannot connect to Wi-Fi,Run a system diagnostic tool.,11 minutes,Account,Resolved after follow-up,12,neutral
CONV-0492,Cannot connect to Wi-Fi,Reset your password using the link provided.,84 minutes,Hardware,Resolved after follow-up,10,neutral
CONV-0493,Forgot password,Verify your email settings.,13 minutes,Hardware,Escalated,29,neutral
CONV-0494,Blue screen error,Restart your router.,9 minutes,Performance,Pending,12,negative
CONV-0495,Cannot connect to Wi-Fi,Run a system diagnostic tool.,111 minutes,Account,Resolved after follow-up,14,neutral
CONV-0496,Slow system performance,Reinstall the printer drivers.,113 minutes,Account,Escalated,4,neutral
CONV-0497,Slow system performance,Run a system diagnostic tool.,76 minutes,Network,Escalated,26,neutral
CONV-0498,Slow system performance,Reinstall the printer drivers.,37 minutes,Network,Resolved,10,neutral
CONV-0499,Printer not responding,Restart your router.,42 minutes,Account,Escalated,12,neutral
CONV-0500,Slow system performance,Follow the software installation guide.,92 minutes,Network,Escalated,15,neutral
CONV-0501,Software installation failure,Follow the software installation guide.,115 minutes,Hardware,Resolved after follow-up,38,negative
CONV-0502,Printer not responding,Run a system diagnostic tool.,23 minutes,Network,Escalated,24,neutral
CONV-0503,Cannot connect to Wi-Fi,Follow the software installation guide.,76 minutes,Account,Pending,19,neutral
CONV-0504,Printer not responding,Follow the software installation guide.,66 minutes,Network,Pending,15,neutral
CONV-0505,Software installation failure,Verify your email settings.,61 minutes,Software,Resolved,11,negative
CONV-0506,Forgot password,Verify your email settings.,9 minutes,Account,Resolved,6,neutral
CONV-0507,Software installation failure,Clear cache and remove unnecessary programs.,32 minutes,Hardware,Resolved after follow-up,22,negative
CONV-0508,Unable to access email,Run a system diagnostic tool.,50 minutes,Hardware,Pending,12,neutral
CONV-0509,Slow system performance,Verify your email settings.,48 minutes,Software,Resolved after follow-up,14,neutral
CONV-0510,Blue screen error,Restart your router.,89 minutes,Network,Resolved,12,negative
CONV-0511,Slow system performance,Verify your email settings.,67 minutes,Network,Resolved after follow-up,15,neutral
CONV-0512,Blue screen error,Verify your email settings.,62 minutes,Performance,Pending,33,negative
CONV-0513,Slow system performance,Reinstall the printer drivers.,14 minutes,Software,Resolved after follow-up,4,neutral
CONV-0514,Slow system performance,Run a system diagnostic tool.,33 minutes,Performance,Resolved after follow-up,21,neutral
CONV-0515,Printer not responding,Verify your email settings.,117 minutes,Software,Pending,6,neutral
CONV-0516,Slow system performance,Restart your router.,84 minutes,Software,Resolved after follow-up,10,neutral
CONV-0517,Printer not responding,Reinstall the printer drivers.,93 minutes,Network,Resolved after follow-up,29,neutral
CONV-0518,Printer not responding,Clear cache and remove unnecessary programs.,101 minutes,Account,Escalated,5,neutral
CONV-0519,Blue screen error,Verify your email settings.,69 minutes,Performance,Resolved,42,negative
CONV-0520,Unable to access email,Reset your password using the link provided.,18 minutes,Performance,Escalated,40,neutral
CONV-0521,Forgot password,Reset your password using the link provided.,55 minutes,Performance,Pending,14,neutral
CONV-0522,Unable to access email,Follow the software installation guide.,46 minutes,Network,Resolved,22,neutral
CONV-0523,Printer not responding,Run a system diagnostic tool.,73 minutes,Network,Pending,26,neutral
CONV-0524,Blue screen error,Restart your router.,96 minutes,Performance,Escalated,43,negative
CONV-0525,Cannot connect to Wi-Fi,Reset your password using the link provided.,84 minutes,Hardware,Escalated,21,neutral
CONV-0526,Software installation failure,Reset your password using the link provided.,48 minutes,Hardware,Escalated,43,negative
CONV-0527,Software installation failure,Verify your email settings.,12 minutes,Software,Resolved,8,negative
CONV-0528,Blue screen error,Restart your router.,15 minutes,Network,Resolved after follow-up,25,negative
CONV-0529,Forgot password,Clear cache and remove unnecessary programs.,105 minutes,Software,Resolved after follow-up,4,neutral
CONV-0530,Cannot connect to Wi-Fi,Verify your email settings.,101 minutes,Network,Resolved after follow-up,7,neutral
CONV-0531,Unable to access email,Run a system diagnostic tool.,78 minutes,Hardware,Resolved after follow-up,58,neutral
CONV-0532,Unable to access email,Verify your email settings.,88 minutes,Software,Pending,14,neutral
CONV-0533,Forgot password,Verify your email settings.,91 minutes,Software,Resolved,5,neutral
CONV-0534,Software installation failure,Run a system diagnostic tool.,11 minutes,Network,Resolved after follow-up,21,negative
CONV-0535,Blue screen error,Clear cache and remove unnecessary programs.,22 minutes,Network,Resolved,29,negative
CONV-0536,Blue screen error,Restart your router.,109 minutes,Network,Escalated,11,negative
CONV-0537,Software installation failure,Reinstall the printer drivers.,100 minutes,Hardware,Escalated,39,negative
CONV-0538,Blue screen error,Clear cache and remove unnecessary programs.,112 minutes,Network,Resolved after follow-up,15,negative
CONV-0539,Printer not responding,Reset your password using the link provided.,19 minutes,Software,Resolved,9,neutral
CONV-0540,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,83 minutes,Software,Escalated,3,neutral
CONV-0541,Printer not responding,Clear cache and remove unnecessary programs.,12 minutes,Software,Pending,7,neutral
CONV-0542,Cannot connect to Wi-Fi,Reset your password using the link provided.,87 minutes,Hardware,Pending,45,neutral
CONV-0543,Blue screen error,Reset your password using the link provided.,38 minutes,Software,Escalated,13,negative
CONV-0544,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,32 minutes,Hardware,Resolved after follow-up,17,neutral
CONV-0545,Cannot connect to Wi-Fi,Verify your email settings.,60 minutes,Account,Resolved after follow-up,12,neutral
CONV-0546,Software installation failure,Reset your password using the link provided.,25 minutes,Account,Escalated,11,negative
CONV-0547,Unable to access email,Clear cache and remove unnecessary programs.,98 minutes,Hardware,Resolved after follow-up,27,neutral
CONV-0548,Printer not responding,Reset your password using the link provided.,53 minutes,Performance,Resolved after follow-up,24,neutral
CONV-0549,Forgot password,Run a system diagnostic tool.,81 minutes,Software,Resolved after follow-up,5,neutral
CONV-0550,Slow system performance,Clear cache and remove unnecessary programs.,30 minutes,Hardware,Pending,58,neutral
CONV-0551,Cannot connect to Wi-Fi,Verify your email settings.,88 minutes,Performance,Pending,34,neutral
CONV-0552,Forgot password,Reset your password using the link provided.,95 minutes,Account,Pending,4,neutral
CONV-0553,Unable to access email,Reinstall the printer drivers.,17 minutes,Hardware,Escalated,48,neutral
CONV-0554,Forgot password,Reinstall the printer drivers.,109 minutes,Software,Pending,5,neutral
CONV-0555,Slow system performance,Restart your router.,31 minutes,Network,Pending,9,neutral
CONV-0556,Cannot connect to Wi-Fi,Reset your password using the link provided.,72 minutes,Software,Resolved after follow-up,8,neutral
CONV-0557,Blue screen error,Run a system diagnostic tool.,68 minutes,Software,Pending,4,negative
CONV-0558,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,20 minutes,Hardware,Resolved,14,neutral
CONV-0559,Slow system performance,Follow the software installation guide.,12 minutes,Hardware,Resolved after follow-up,49,neutral
CONV-0560,Printer not responding,Follow the software installation guide.,106 minutes,Performance,Resolved after follow-up,29,neutral
CONV-0561,Software installation failure,Restart your router.,34 minutes,Account,Escalated,19,negative
CONV-0562,Printer not responding,Reset your password using the link provided.,80 minutes,Network,Resolved,28,neutral
CONV-0563,Forgot password,Run a system diagnostic tool.,71 minutes,Network,Escalated,27,neutral
CONV-0564,Cannot connect to Wi-Fi,Follow the software installation guide.,17 minutes,Performance,Resolved,23,neutral
CONV-0565,Software installation failure,Verify your email settings.,38 minutes,Hardware,Pending,19,negative
CONV-0566,Software installation failure,Clear cache and remove unnecessary programs.,53 minutes,Software,Resolved after follow-up,6,negative
CONV-0567,Unable to access email,Clear cache and remove unnecessary programs.,18 minutes,Network,Pending,22,neutral
CONV-0568,Blue screen error,Restart your router.,22 minutes,Software,Resolved,3,negative
CONV-0569,Blue screen error,Reset your password using the link provided.,17 minutes,Account,Resolved after follow-up,2,negative
CONV-0570,Cannot connect to Wi-Fi,Run a system diagnostic tool.,59 minutes,Network,Resolved after follow-up,14,neutral
CONV-0571,Unable to access email,Clear cache and remove unnecessary programs.,16 minutes,Network,Pending,9,neutral
CONV-0572,Blue screen error,Verify your email settings.,118 minutes,Performance,Resolved,18,negative
CONV-0573,Software installation failure,Verify your email settings.,41 minutes,Account,Escalated,19,negative
CONV-0574,Unable to access email,Reinstall the printer drivers.,19 minutes,Software,Pending,13,neutral
CONV-0575,Slow system performance,Restart your router.,81 minutes,Network,Resolved after follow-up,6,neutral
CONV-0576,Unable to access email,Clear cache and remove unnecessary programs.,49 minutes,Performance,Resolved,17,neutral
CONV-0577,Blue screen error,Verify your email settings.,13 minutes,Software,Pending,2,negative
CONV-0578,Cannot connect to Wi-Fi,Run a system diagnostic tool.,31 minutes,Hardware,Resolved,47,neutral
CONV-0579,Slow system performance,Restart your router.,118 minutes,Performance,Escalated,10,neutral
CONV-0580,Printer not responding,Run a system diagnostic tool.,101 minutes,Performance,Resolved,28,neutral
CONV-0581,Slow system performance,Reset your password using the link provided.,51 minutes,Hardware,Resolved,54,neutral
CONV-0582,Printer not responding,Run a system diagnostic tool.,19 minutes,Hardware,Escalated,57,neutral
CONV-0583,Software installation failure,Follow the software installation guide.,113 minutes,Software,Escalated,4,negative
CONV-0584,Slow system performance,Reset your password using the link provided.,20 minutes,Network,Escalated,12,neutral
CONV-0585,Forgot password,Clear cache and remove unnecessary programs.,67 minutes,Performance,Resolved,24,neutral
CONV-0586,Software installation failure,Verify your email settings.,25 minutes,Performance,Escalated,40,negative
CONV-0587,Printer not responding,Run a system diagnostic tool.,72 minutes,Hardware,Resolved after follow-up,28,neutral
CONV-0588,Cannot connect to Wi-Fi,Verify your email settings.,90 minutes,Hardware,Resolved,44,neutral
CONV-0589,Blue screen error,Restart your router.,36 minutes,Software,Pending,11,negative
CONV-0590,Printer not responding,Follow the software installation guide.,99 minutes,Hardware,Resolved after follow-up,44,neutral
CONV-0591,Forgot password,Restart your router.,39 minutes,Software,Resolved,3,neutral
CONV-0592,Forgot password,Run a system diagnostic tool.,84 minutes,Performance,Escalated,12,neutral
CONV-0593,Forgot password,Reset your password using the link provided.,23 minutes,Network,Resolved,10,neutral
CONV-0594,Slow system performance,Reset your password using the link provided.,97 minutes,Account,Resolved after follow-up,15,neutral
CONV-0595,Slow system performance,Follow the software installation guide.,101 minutes,Account,Resolved,8,neutral
CONV-0596,Blue screen error,Verify your email settings.,98 minutes,Network,Escalated,26,negative
CONV-0597,Printer not responding,Clear cache and remove unnecessary programs.,60 minutes,Hardware,Resolved,28,neutral
CONV-0598,Printer not responding,Clear cache and remove unnecessary programs.,55 minutes,Hardware,Resolved after follow-up,31,neutral
CONV-0599,Software installation failure,Clear cache and remove unnecessary programs.,59 minutes,Hardware,Resolved after follow-up,19,negative
CONV-0600,Slow system performance,Restart your router.,91 minutes,Performance,Pending,24,neutral
CONV-0601,Printer not responding,Run a system diagnostic tool.,13 minutes,Network,Resolved,27,neutral
CONV-0602,Unable to access email,Follow the software installation guide.,56 minutes,Software,Pending,10,neutral
CONV-0603,Blue screen error,Reinstall the printer drivers.,85 minutes,Software,Resolved,10,negative
CONV-0604,Unable to access email,Reinstall the printer drivers.,11 minutes,Performance,Resolved after follow-up,11,neutral
CONV-0605,Blue screen error,Restart your router.,114 minutes,Hardware,Resolved,54,negative
CONV-0606,Blue screen error,Run a system diagnostic tool.,75 minutes,Network,Escalated,14,negative
CONV-0607,Printer not responding,Verify your email settings.,28 minutes,Performance,Pending,24,neutral
CONV-0608,Forgot password,Clear cache and remove unnecessary programs.,47 minutes,Performance,Pending,16,neutral
CONV-0609,Cannot connect to Wi-Fi,Follow the software installation guide.,66 minutes,Account,Escalated,19,neutral
CONV-0610,Software installation failure,Run a system diagnostic tool.,14 minutes,Software,Resolved,12,negative
CONV-0611,Slow system performance,Reset your password using the link provided.,107 minutes,Performance,Escalated,33,neutral
CONV-0612,Slow system performance,Run a system diagnostic tool.,111 minutes,Network,Resolved after follow-up,8,neutral
CONV-0613,Software installation failure,Run a system diagnostic tool.,11 minutes,Software,Pending,2,negative
CONV-0614,Cannot connect to Wi-Fi,Reinstall the printer drivers.,56 minutes,Software,Resolved after follow-up,10,neutral
CONV-0615,Forgot password,Reset your password using the link provided.,20 minutes,Software,Resolved,5,neutral
CONV-0616,Printer not responding,Verify your email settings.,27 minutes,Software,Resolved after follow-up,9,neutral
CONV-0617,Slow system performance,Reinstall the printer drivers.,52 minutes,Software,Resolved after follow-up,6,neutral
CONV-0618,Software installation failure,Clear cache and remove unnecessary programs.,14 minutes,Hardware,Pending,38,negative
CONV-0619,Software installation failure,Clear cache and remove unnecessary programs.,64 minutes,Software,Pending,12,negative
CONV-0620,Printer not responding,Verify your email settings.,112 minutes,Software,Escalated,11,neutral
CONV-0621,Printer not responding,Clear cache and remove unnecessary programs.,18 minutes,Performance,Escalated,35,neutral
CONV-0622,Cannot connect to Wi-Fi,Restart your router.,66 minutes,Account,Resolved after follow-up,9,neutral
CONV-0623,Slow system performance,Restart your router.,42 minutes,Account,Resolved after follow-up,9,neutral
CONV-0624,Forgot password,Restart your router.,88 minutes,Software,Resolved after follow-up,7,neutral
CONV-0625,Blue screen error,Clear cache and remove unnecessary programs.,34 minutes,Account,Escalated,5,negative
CONV-0626,Blue screen error,Follow the software installation guide.,21 minutes,Hardware,Escalated,11,negative
CONV-0627,Unable to access email,Clear cache and remove unnecessary programs.,110 minutes,Network,Resolved after follow-up,23,neutral
CONV-0628,Forgot password,Verify your email settings.,27 minutes,Account,Pending,6,neutral
CONV-0629,Printer not responding,Clear cache and remove unnecessary programs.,14 minutes,Software,Escalated,5,neutral
CONV-0630,Forgot password,Verify your email settings.,64 minutes,Software,Resolved after follow-up,10,neutral
CONV-0631,Slow system performance,Clear cache and remove unnecessary programs.,47 minutes,Network,Resolved after follow-up,20,neutral
CONV-0632,Cannot connect to Wi-Fi,Verify your email settings.,57 minutes,Hardware,Resolved after follow-up,27,neutral
CONV-0633,Forgot password,Run a system diagnostic tool.,67 minutes,Performance,Resolved after follow-up,12,neutral
CONV-0634,Blue screen error,Run a system diagnostic tool.,15 minutes,Hardware,Resolved,49,negative
CONV-0635,Printer not responding,Run a system diagnostic tool.,49 minutes,Hardware,Pending,27,neutral
CONV-0636,Forgot password,Verify your email settings.,62 minutes,Software,Resolved,7,neutral
CONV-0637,Blue screen error,Follow the software installation guide.,74 minutes,Hardware,Resolved after follow-up,21,negative
CONV-0638,Cannot connect to Wi-Fi,Restart your router.,75 minutes,Hardware,Escalated,21,neutral
CONV-0639,Cannot connect to Wi-Fi,Run a system diagnostic tool.,111 minutes,Software,Pending,11,neutral
CONV-0640,Cannot connect to Wi-Fi,Reset your password using the link provided.,109 minutes,Hardware,Resolved,54,neutral
CONV-0641,Slow system performance,Verify your email settings.,46 minutes,Network,Resolved after follow-up,5,neutral
CONV-0642,Forgot password,Reinstall the printer drivers.,62 minutes,Performance,Pending,26,neutral
CONV-0643,Cannot connect to Wi-Fi,Reinstall the printer drivers.,5 minutes,Performance,Resolved after follow-up,28,neutral
CONV-0644,Unable to access email,Clear cache and remove unnecessary programs.,82 minutes,Account,Resolved,4,neutral
CONV-0645,Software installation failure,Reset your password using the link provided.,21 minutes,Network,Resolved,14,negative
CONV-0646,Unable to access email,Run a system diagnostic tool.,56 minutes,Software,Resolved after follow-up,3,neutral
CONV-0647,Forgot password,Run a system diagnostic tool.,46 minutes,Hardware,Resolved,34,neutral
CONV-0648,Printer not responding,Restart your router.,119 minutes,Network,Escalated,11,neutral
CONV-0649,Cannot connect to Wi-Fi,Reinstall the printer drivers.,47 minutes,Software,Resolved after follow-up,10,neutral
CONV-0650,Slow system performance,Follow the software installation guide.,100 minutes,Performance,Resolved,19,neutral
CONV-0651,Unable to access email,Follow the software installation guide.,100 minutes,Performance,Resolved,29,neutral
CONV-0652,Software installation failure,Restart your router.,67 minutes,Software,Escalated,4,negative
CONV-0653,Slow system performance,Verify your email settings.,68 minutes,Hardware,Pending,31,neutral
CONV-0654,Cannot connect to Wi-Fi,Restart your router.,32 minutes,Account,Resolved,14,neutral
CONV-0655,Software installation failure,Reinstall the printer drivers.,8 minutes,Performance,Escalated,15,negative
CONV-0656,Forgot password,Clear cache and remove unnecessary programs.,89 minutes,Account,Pending,16,neutral
CONV-0657,Printer not responding,Reset your password using the link provided.,80 minutes,Performance,Pending,40,neutral
CONV-0658,Blue screen error,Verify your email settings.,77 minutes,Network,Escalated,17,negative
CONV-0659,Slow system performance,Verify your email settings.,18 minutes,Software,Resolved,7,neutral
CONV-0660,Software installation failure,Reset your password using the link provided.,18 minutes,Network,Resolved after follow-up,21,negative
CONV-0661,Software installation failure,Clear cache and remove unnecessary programs.,110 minutes,Account,Pending,6,negative
CONV-0662,Printer not responding,Run a system diagnostic tool.,78 minutes,Software,Pending,6,neutral
CONV-0663,Printer not responding,Run a system diagnostic tool.,45 minutes,Performance,Pending,38,neutral
CONV-0664,Blue screen error,Follow the software installation guide.,75 minutes,Performance,Escalated,34,negative
CONV-0665,Slow system performance,Follow the software installation guide.,9 minutes,Software,Resolved,2,neutral
CONV-0666,Slow system performance,Run a system diagnostic tool.,30 minutes,Performance,Escalated,13,neutral
CONV-0667,Software installation failure,Restart your router.,74 minutes,Network,Resolved after follow-up,20,negative
CONV-0668,Software installation failure,Follow the software installation guide.,12 minutes,Software,Resolved,4,negative
CONV-0669,Unable to access email,Restart your router.,94 minutes,Account,Pending,18,neutral
CONV-0670,Cannot connect to Wi-Fi,Restart your router.,13 minutes,Network,Resolved,19,neutral
CONV-0671,Unable to access email,Restart your router.,13 minutes,Software,Escalated,11,neutral
CONV-0672,Software installation failure,Run a system diagnostic tool.,112 minutes,Hardware,Resolved,58,negative
CONV-0673,Forgot password,Follow the software installation guide.,88 minutes,Network,Escalated,22,neutral
CONV-0674,Forgot password,Restart your router.,22 minutes,Hardware,Resolved after follow-up,23,neutral
CONV-0675,Blue screen error,Restart your router.,119 minutes,Performance,Resolved,20,negative
CONV-0676,Unable to access email,Run a system diagnostic tool.,87 minutes,Hardware,Resolved after follow-up,35,neutral
CONV-0677,Software installation failure,Reset your password using the link provided.,102 minutes,Performance,Pending,40,negative
CONV-0678,Software installation failure,Clear cache and remove unnecessary programs.,8 minutes,Hardware,Escalated,52,negative
CONV-0679,Slow system performance,Verify your email settings.,17 minutes,Performance,Resolved,11,neutral
CONV-0680,Blue screen error,Verify your email settings.,9 minutes,Software,Escalated,10,negative
CONV-0681,Software installation failure,Verify your email settings.,95 minutes,Account,Escalated,4,negative
CONV-0682,Printer not responding,Reset your password using the link provided.,91 minutes,Hardware,Resolved,50,neutral
CONV-0683,Software installation failure,Restart your router.,82 minutes,Software,Resolved after follow-up,11,negative
CONV-0684,Cannot connect to Wi-Fi,Reinstall the printer drivers.,99 minutes,Software,Resolved after follow-up,9,neutral
CONV-0685,Forgot password,Run a system diagnostic tool.,85 minutes,Network,Pending,9,neutral
CONV-0686,Cannot connect to Wi-Fi,Reset your password using the link provided.,109 minutes,Hardware,Escalated,11,neutral
CONV-0687,Blue screen error,Restart your router.,93 minutes,Hardware,Resolved,23,negative
CONV-0688,Printer not responding,Follow the software installation guide.,93 minutes,Network,Resolved,11,neutral
CONV-0689,Software installation failure,Run a system diagnostic tool.,52 minutes,Software,Pending,7,negative
CONV-0690,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,72 minutes,Performance,Escalated,40,neutral
CONV-0691,Slow system performance,Verify your email settings.,7 minutes,Account,Escalated,18,neutral
CONV-0692,Slow system performance,Follow the software installation guide.,47 minutes,Account,Resolved,8,neutral
CONV-0693,Software installation failure,Reset your password using the link provided.,8 minutes,Software,Pending,11,negative
CONV-0694,Blue screen error,Clear cache and remove unnecessary programs.,22 minutes,Hardware,Escalated,18,negative
CONV-0695,Printer not responding,Restart your router.,21 minutes,Software,Resolved,10,neutral
CONV-0696,Software installation failure,Reinstall the printer drivers.,102 minutes,Hardware,Resolved,55,negative
CONV-0697,Forgot password,Verify your email settings.,93 minutes,Network,Pending,14,neutral
CONV-0698,Forgot password,Follow the software installation guide.,82 minutes,Account,Pending,5,neutral
CONV-0699,Cannot connect to Wi-Fi,Reset your password using the link provided.,76 minutes,Performance,Resolved after follow-up,35,neutral
